x;system
-10.966370614359207;-7.623656807725885E16
-10.956370614359207;-2.9989290253476455E15
-10.946370614359207;-2.475349212357607E14
-10.936370614359207;-3.25302085542332E13
-10.926370614359207;-5.88408070633212E12
-10.916370614359208;-1.3438251168181536E12
-10.906370614359208;-3.6663898353789923E11
-10.896370614359208;-1.1508450986094498E11
-10.886370614359208;-4.046247413082684E10
-10.876370614359208;-1.5623683556582888E10
-10.866370614359209;-6.527117046113355E9
-10.856370614359209;-2.916296052577944E9
-10.84637061435921;-1.3807940507706325E9
-10.83637061435921;-6.877093342243385E8
-10.82637061435921;-3.581281966447708E8
-10.81637061435921;-1.9402638032909647E8
-10.80637061435921;-1.089072273761616E8
-10.79637061435921;-6.3109131010772295E7
-10.78637061435921;-3.7640819582401715E7
-10.77637061435921;-2.304797527519546E7
-10.76637061435921;-1.4455718596699048E7
-10.756370614359211;-9268965.709603634
-10.746370614359211;-6065459.053693834
-10.736370614359211;-4044652.3429336087
-10.726370614359212;-2744751.367732499
-10.716370614359212;-1893268.608474
-10.706370614359212;-1326010.5190646213
-10.696370614359212;-942090.9781709816
-10.686370614359213;-678385.8786211456
-10.676370614359213;-494722.7163343057
-10.666370614359213;-365125.94312081364
-10.656370614359213;-272547.3213748519
-10.646370614359213;-205639.64511564682
-10.636370614359214;-156749.71435899305
-10.626370614359214;-120650.89477197091
-10.616370614359214;-93731.30737168659
-10.606370614359214;-73466.84819229628
-10.596370614359214;-58074.74229506278
-10.586370614359215;-46283.03288470726
-10.576370614359215;-37175.45053554655
-10.566370614359215;-30085.874658896784
-10.556370614359215;-24525.788966108063
-10.546370614359216;-20133.923380284188
-10.536370614359216;-16640.967451407858
-10.526370614359216;-13844.621868631437
-10.516370614359216;-11591.807334370653
-10.506370614359216;-9765.87285502881
-10.496370614359217;-8277.325930400035
-10.486370614359217;-7057.064086984916
-10.476370614359217;-6051.39688022672
-10.466370614359217;-5218.35918851869
-10.456370614359217;-4524.962550788028
-10.446370614359218;-3945.132702030628
-10.436370614359218;-3458.1524697837044
-10.426370614359218;-3047.479291589538
-10.416370614359218;-2699.8422142479644
